# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.16193391 1.56049308  -4.20626374e-01  
0.16193391 1.63343378  -3.33509613e-01  
0.16193391 1.70526684  -2.52631168e-01  
0.16193391 1.77575364  -1.80308007e-01  
0.16193391 1.84466004  -1.18799852e-01  
0.16193391 1.91175714  -6.97629385e-02  
0.16193391 1.97682203  -3.37598364e-02  
0.16193391 2.03963860  -1.00244057e-02  
0.16193391 2.09999816   3.40653581e-03  
0.16193391 2.15770020   9.22828415e-03  
0.16193391 2.21255306   1.02453526e-02  
0.16193391 2.26437450   8.82720349e-03  
0.16193391 2.31299239   6.61702356e-03  
0.16193391 2.35824522   4.52419820e-03  
0.16193391 2.39998267   2.90442939e-03  
0.16193391 2.43806609   1.79149598e-03  
0.16193391 2.47236897   1.08425388e-03  
0.16193391 2.50277737   6.57103572e-04  
0.16193391 2.52919027   4.06768445e-04  
0.16193391 2.55151994   2.62148590e-04  
0.16193391 2.56969223   1.79021030e-04  
0.16193391 2.58364683   1.31573665e-04  
0.16193391 2.59333765   1.05405636e-04  
0.16193391 2.59873467   9.28937502e-05  
0.20001733 0.00126533  -2.44697646e+00  
0.20001733 0.00666235  -2.44687936e+00  
0.20001733 0.01635317  -2.44628080e+00  
0.20001733 0.03030777  -2.44459842e+00  
0.20001733 0.04848006  -2.44090325e+00  
0.20001733 0.07080973  -2.43406546e+00  
0.20001733 0.09722263  -2.42279463e+00  
0.20001733 0.12763103  -2.40572870e+00  
0.20001733 0.16193391  -2.38149093e+00  
0.20001733 0.20001733  -2.34852686e+00  
0.20001733 0.24175478  -2.29122706e+00  
0.20001733 0.28700761  -2.22392382e+00  
0.20001733 0.33562550  -2.14862652e+00  
0.20001733 0.38744694  -2.06684040e+00  
0.20001733 0.44229980  -1.97977532e+00  
0.20001733 0.50000184  -1.88846378e+00  
0.20001733 0.56036140  -1.79383247e+00  
0.20001733 0.62317797  -1.69671857e+00  
0.20001733 0.68824286  -1.59785936e+00  
0.20001733 0.75533996  -1.49787946e+00  
0.20001733 0.82424636  -1.39728871e+00  
0.20001733 0.89473316  -1.29649150e+00  
0.20001733 0.96656622  -1.19580284e+00  
0.20001733 1.03950692  -1.09546598e+00  
0.20001733 1.11331294  -9.95670049e-01  
0.20001733 1.18773913  -8.96569928e-01  
0.20001733 1.26253823  -7.98314609e-01  
0.20001733 1.33746177  -7.01094161e-01  
0.20001733 1.41226087  -6.05217381e-01  
0.20001733 1.48668706  -5.11228006e-01  
0.20001733 1.56049308  -4.20049847e-01  
0.20001733 1.63343378  -3.33115105e-01  
0.20001733 1.70526684  -2.52387486e-01  
0.20001733 1.77575364  -1.80183519e-01  
0.20001733 1.84466004  -1.18763131e-01  
0.20001733 1.91175714  -6.97841795e-02  
0.20001733 1.97682203  -3.38129272e-02  
0.20001733 2.03963860  -1.00888594e-02  
0.20001733 2.09999816   3.34460923e-03  
0.20001733 2.15770020   9.17645760e-03  
0.20001733 2.21255306   1.02061576e-02  
0.20001733 2.26437450   8.79987875e-03  
0.20001733 2.31299239   6.59920537e-03  
0.20001733 2.35824522   4.51318207e-03  
0.20001733 2.39998267   2.89787985e-03  
0.20001733 2.43806609   1.78769315e-03  
0.20001733 2.47236897   1.08206121e-03  
0.20001733 2.50277737   6.55825702e-04  
0.20001733 2.52919027   4.06001935e-04  
0.20001733 2.55151994   2.61666832e-04  
0.20001733 2.56969223   1.78698378e-04  
0.20001733 2.58364683   1.31339922e-04  
0.20001733 2.59333765   1.05220199e-04  
0.20001733 2.59873467   9.27311976e-05  
0.24175478 0.00126533  -2.37412267e+00  
0.24175478 0.00666235  -2.37404255e+00  
0.24175478 0.01635317  -2.37353376e+00  
0.24175478 0.03030777  -2.37211214e+00  
0.24175478 0.04848006  -2.36898961e+00  
0.24175478 0.07080973  -2.36321234e+00  
0.24175478 0.09722263  -2.35369108e+00  
0.24175478 0.12763103  -2.33927803e+00  
0.24175478 0.16193391  -2.31883486e+00  
0.24175478 0.20001733  -2.29122706e+00  
0.24175478 0.24175478  -2.25509183e+00  
0.24175478 0.28700761  -2.19368292e+00  
0.24175478 0.33562550  -2.12317825e+00  
0.24175478 0.38744694  -2.04546067e+00  
0.24175478 0.44229980  -1.96187819e+00  
0.24175478 0.50000184  -1.87353198e+00  
0.24175478 0.56036140  -1.78139660e+00  
0.24175478 0.62317797  -1.68635714e+00  
0.24175478 0.68824286  -1.58920492e+00  
0.24175478 0.75533996  -1.49062250e+00  
0.24175478 0.82424636  -1.39117701e+00  
0.24175478 0.89473316  -1.29132568e+00  
0.24175478 0.96656622  -1.19142914e+00  
0.24175478 1.03950692  -1.09176722e+00  
0.24175478 1.11331294  -9.92556058e-01  
0.24175478 1.18773913  -8.93969317e-01  
0.24175478 1.26253823  -7.96168995e-01  
0.24175478 1.33746177  -6.99354357e-01  
0.24175478 1.41226087  -6.03840266e-01  
0.24175478 1.48668706  -5.10173511e-01  
0.24175478 1.56049308  -4.19278510e-01  
0.24175478 1.63343378  -3.32586707e-01  
0.24175478 1.70526684  -2.52060649e-01  
0.24175478 1.77575364  -1.80015997e-01  
0.24175478 1.84466004  -1.18712885e-01  
0.24175478 1.91175714  -6.98114430e-02  
0.24175478 1.97682203  -3.38829311e-02  
0.24175478 2.03963860  -1.01742948e-02  
0.24175478 2.09999816   3.26232736e-03  
0.24175478 2.15770020   9.10751286e-03  
0.24175478 2.21255306   1.01539867e-02  
0.24175478 2.26437450   8.76349753e-03  
0.24175478 2.31299239   6.57547646e-03  
0.24175478 2.35824522   4.49850816e-03  
0.24175478 2.39998267   2.88915333e-03  
0.24175478 2.43806609   1.78262500e-03  
0.24175478 2.47236897   1.07913833e-03  
0.24175478 2.50277737   6.54121995e-04  
0.24175478 2.52919027   4.04979880e-04  
0.24175478 2.55151994   2.61024416e-04  
0.24175478 2.56969223   1.78268109e-04  
0.24175478 2.58364683   1.31028210e-04  
0.24175478 2.59333765   1.04972905e-04  
0.24175478 2.59873467   9.25144194e-05  
0.28700761 0.00126533  -2.29359761e+00  
0.28700761 0.00666235  -2.29353248e+00  
0.28700761 0.01635317  -2.29310305e+00  
